[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles:uppp'
# Event count (approx.): 287056831
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    62.91%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
    26.76%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     3.89%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     1.38%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     1.22%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     1.20%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.79%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.57%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.42%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.31%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.19%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.07%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.04%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.02%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.02%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.02%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c87c
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e72
     0.02%  mandelbrot_omp  mandelbrot_omp      [.] fopen@plt
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_fini
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __GI___readdir64
     0.01%  mandelbrot_omp  libc-2.27.so        [.] getenv
     0.01%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c000158
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __GI_____strtod_l_internal
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_cache_libcmp
     0.01%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_from_fd
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_omp  ld-2.27.so          [.] get_common_indeces.constprop.1
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_check_map_versions
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] _setjmp@plt
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d56
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d3e
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start
     0.00%  mandelbrot_omp  [unknown]           [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
