[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:uppp'
# Event count (approx.): 498034408
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    50.66%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
    40.04%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     3.03%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     1.99%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.87%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     0.83%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     0.80%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.67%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.54%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.36%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.03%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.03%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.02%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.02%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.02%  mandelbrot_omp  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.01%  mandelbrot_omp  ld-2.27.so          [.] mmap64
     0.01%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.01%  mandelbrot_omp  ld-2.27.so          [.] __tunable_get_val
     0.01%  mandelbrot_omp  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] elision_init
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __strlen_avx2
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_catch_exception
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e72
     0.00%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.00%  mandelbrot_omp  ld-2.27.so          [.] dl_main
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_from_fd
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_allocate_tls_storage
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6a0
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e20
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d56
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] _setjmp@plt
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d3e
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6d7
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt


#
# (Cannot load tips.txt file, please install perf!)
#
