[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:uppp'
# Event count (approx.): 356121895
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    72.08%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
    18.75%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     3.60%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     1.41%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     1.24%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     1.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.45%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.42%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.33%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.25%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.20%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.03%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.03%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6d7
     0.03%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.02%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.01%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _IO_fwrite
     0.01%  mandelbrot_omp  mandelbrot_omp      [.] main
     0.01%  mandelbrot_omp  ld-2.27.so          [.] memmove
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __strlen_avx2
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _IO_vfscanf
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_cache_libcmp
     0.01%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.01%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] strlen
     0.00%  mandelbrot_omp  ld-2.27.so          [.] strchr
     0.00%  mandelbrot_omp  ld-2.27.so          [.] get_common_indeces.constprop.1
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_name_match_p
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _setjmp
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c77b
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c000158
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
