[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 207  of event 'cycles:uppp'
# Event count (approx.): 1867436
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    64.29%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     4.21%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     4.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     3.38%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     3.24%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     1.99%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     1.95%  mandelbrot_pth  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     1.43%  mandelbrot_pth  libc-2.27.so        [.] intel_check_word.isra.0
     1.36%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     1.33%  mandelbrot_pth  libc-2.27.so        [.] __GI_____strtod_l_internal
     1.08%  mandelbrot_pth  libc-2.27.so        [.] __cxa_finalize
     1.06%  mandelbrot_pth  ld-2.27.so          [.] _dl_name_match_p
     1.04%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object_from_fd
     0.96%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.96%  mandelbrot_pth  ld-2.27.so          [.] strchr
     0.89%  mandelbrot_pth  ld-2.27.so          [.] dl_main
     0.84%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.78%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.71%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     0.65%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     0.63%  mandelbrot_pth  libc-2.27.so        [.] vfprintf
     0.53%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     0.50%  mandelbrot_pth  ld-2.27.so          [.] _dl_fixup
     0.48%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.45%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.37%  mandelbrot_pth  libc-2.27.so        [.] __mprotect
     0.32%  mandelbrot_pth  libpthread-2.27.so  [.] __free_tcb
     0.26%  mandelbrot_pth  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.17%  mandelbrot_pth  libc-2.27.so        [.] __mmap
     0.10%  mandelbrot_pth  libpthread-2.27.so  [.] __ctype_init@plt
     0.03%  mandelbrot_pth  ld-2.27.so          [.] _start
     0.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c000158
     0.00%  mandelbrot_pth  [unknown]           [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
