[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:uppp'
# Event count (approx.): 1024401622
#
# Overhead  Command         Shared Object       Symbol                              
# ........  ..............  ..................  ....................................
#
    74.82%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     7.33%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     5.38%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     5.32%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     1.45%  mandelbrot_pth  libc-2.27.so        [.] malloc
     1.41%  mandelbrot_pth  mandelbrot_pth      [.] allocate_image_buffer
     1.18%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.90%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     0.83%  mandelbrot_pth  mandelbrot_pth      [.] write_to_file
     0.66%  mandelbrot_pth  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.19%  mandelbrot_pth  libc-2.27.so        [.] @plt
     0.16%  mandelbrot_pth  libc-2.27.so        [.] __mempcpy_avx_unaligned_erms
     0.14%  mandelbrot_pth  mandelbrot_pth      [.] malloc@plt
     0.13%  mandelbrot_pth  mandelbrot_pth      [.] fwrite@plt
     0.01%  mandelbrot_pth  libc-2.27.so        [.] __libc_enable_asynccancel
     0.01%  mandelbrot_pth  libc-2.27.so        [.] sysmalloc
     0.01%  mandelbrot_pth  libc-2.27.so        [.] __GI___libc_write
     0.01%  mandelbrot_pth  ld-2.27.so          [.] _dl_fixup
     0.01%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     0.01%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     0.01%  mandelbrot_pth  libc-2.27.so        [.] __getpagesize
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __sbrk
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_link_in
     0.00%  mandelbrot_pth  ld-2.27.so          [.] dl_main
     0.00%  mandelbrot_pth  libc-2.27.so        [.] intel_check_word.isra.0
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __mpn_construct_double
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_pth  ld-2.27.so          [.] openaux
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_check_map_versions
     0.00%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_pth  ld-2.27.so          [.] rtld_lock_default_lock_recursive
     0.00%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _start
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_pth  [unknown]           [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
