[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 252  of event 'cycles:uppp'
# Event count (approx.): 1995619
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    61.21%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     7.09%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     4.17%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     3.99%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     2.79%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     2.08%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     1.60%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     1.34%  mandelbrot_pth  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     1.22%  mandelbrot_pth  libc-2.27.so        [.] __GI_____strtod_l_internal
     1.11%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     1.04%  mandelbrot_pth  ld-2.27.so          [.] _dl_cache_libcmp
     1.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_discover_osversion
     0.98%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object_deps
     0.91%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     0.88%  mandelbrot_pth  ld-2.27.so          [.] _dl_map_object
     0.87%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_write@@GLIBC_2.2.5
     0.80%  mandelbrot_pth  ld-2.27.so          [.] get_common_indeces.constprop.1
     0.77%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     0.69%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.63%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.57%  mandelbrot_pth  ld-2.27.so          [.] _dl_fixup
     0.44%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     0.44%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     0.38%  mandelbrot_pth  libc-2.27.so        [.] malloc
     0.37%  mandelbrot_pth  libc-2.27.so        [.] vfprintf
     0.34%  mandelbrot_pth  libc-2.27.so        [.] __getpagesize
     0.34%  mandelbrot_pth  libc-2.27.so        [.] cfree@GLIBC_2.2.5
     0.32%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.30%  mandelbrot_pth  ld-2.27.so          [.] _dl_sysdep_start
     0.29%  mandelbrot_pth  libc-2.27.so        [.] _setjmp
     0.27%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.24%  mandelbrot_pth  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     0.18%  mandelbrot_pth  ld-2.27.so          [.] _dl_deallocate_tls
     0.17%  mandelbrot_pth  libc-2.27.so        [.] __libc_calloc
     0.11%  mandelbrot_pth  libpthread-2.27.so  [.] __GI___pthread_timedjoin_ex
     0.04%  mandelbrot_pth  libpthread-2.27.so  [.] __pthread_disable_asynccancel
     0.03%  mandelbrot_pth  ld-2.27.so          [.] _start
     0.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c000158


#
# (Cannot load tips.txt file, please install perf!)
#
