[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 250  of event 'cycles:uppp'
# Event count (approx.): 2018409
#
# Overhead  Command         Shared Object       Symbol                        
# ........  ..............  ..................  ..............................
#
    68.76%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     5.53%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     3.88%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     3.08%  mandelbrot_pth  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     2.60%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     1.80%  mandelbrot_pth  ld-2.27.so          [.] _dl_fixup
     1.73%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     1.52%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     1.31%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     0.97%  mandelbrot_pth  libc-2.27.so        [.] __cxa_finalize
     0.95%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.91%  mandelbrot_pth  ld-2.27.so          [.] _dl_cache_libcmp
     0.91%  mandelbrot_pth  ld-2.27.so          [.] _dl_sysdep_start
     0.84%  mandelbrot_pth  ld-2.27.so          [.] _dl_name_match_p
     0.78%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     0.63%  mandelbrot_pth  libc-2.27.so        [.] cfree@GLIBC_2.2.5
     0.59%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.56%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     0.52%  mandelbrot_pth  libc-2.27.so        [.] _itoa_word
     0.36%  mandelbrot_pth  libpthread-2.27.so  [.] __mprotect@plt
     0.34%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     0.32%  mandelbrot_pth  libpthread-2.27.so  [.] _dl_deallocate_tls@plt
     0.24%  mandelbrot_pth  libc-2.27.so        [.] _IO_enable_locks
     0.22%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.21%  mandelbrot_pth  libc-2.27.so        [.] __libc_calloc
     0.17%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.14%  mandelbrot_pth  libc-2.27.so        [.] __mprotect
     0.08%  mandelbrot_pth  libpthread-2.27.so  [.] __ctype_init@plt
     0.03%  mandelbrot_pth  libc-2.27.so        [.] __madvise
     0.02%  mandelbrot_pth  ld-2.27.so          [.] _start
     0.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c000158
     0.00%  mandelbrot_pth  [unknown]           [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
