[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61  of event 'cycles:uppp'
# Event count (approx.): 1424388
#
# Overhead  Command         Shared Object     Symbol                        
# ........  ..............  ................  ..............................
#
    65.21%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
     6.67%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     5.69%  mandelbrot_seq  [kernel]          [k] 0xffffffff8c0009e7
     5.61%  mandelbrot_seq  mandelbrot_seq    [.] update_rgb_buffer
     3.54%  mandelbrot_seq  libc-2.27.so      [.] _IO_un_link
     3.26%  mandelbrot_seq  ld-2.27.so        [.] _dl_lookup_symbol_x
     2.27%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     1.51%  mandelbrot_seq  ld-2.27.so        [.] strcmp
     1.42%  mandelbrot_seq  libc-2.27.so      [.] __GI_____strtod_l_internal
     1.13%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     0.93%  mandelbrot_seq  ld-2.27.so        [.] _dl_sysdep_start
     0.85%  mandelbrot_seq  ld-2.27.so        [.] _dl_load_cache_lookup
     0.82%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     0.75%  mandelbrot_seq  ld-2.27.so        [.] dl_main
     0.29%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.04%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
