[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:uppp'
# Event count (approx.): 370916171
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    72.30%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
    18.05%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     3.85%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     1.51%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     1.27%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     0.89%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.69%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.36%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.33%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.25%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.23%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.07%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.03%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.02%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.01%  mandelbrot_omp  mandelbrot_omp      [.] _init
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_check_map_versions
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _IO_fwrite
     0.01%  mandelbrot_omp  mandelbrot_omp      [.] _fini
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __GI_____strtoull_l_internal
     0.01%  mandelbrot_omp  libpthread-2.27.so  [.] __pthread_key_create
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _IO_no_init
     0.01%  mandelbrot_omp  libc-2.27.so        [.] malloc
     0.01%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object
     0.00%  mandelbrot_omp  libc-2.27.so        [.] handle_intel.constprop.1
     0.00%  mandelbrot_omp  ld-2.27.so          [.] strchr
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_from_fd
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c77b
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019db6
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e2a
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 224  of event 'cycles:uppp'
# Event count (approx.): 1827990
#
# Overhead  Command         Shared Object       Symbol                         
# ........  ..............  ..................  ...............................
#
    65.28%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     5.30%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     4.22%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     2.43%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     2.32%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     2.11%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     2.10%  mandelbrot_pth  libc-2.27.so        [.] __clone
     1.94%  mandelbrot_pth  libc-2.27.so        [.] __call_tls_dtors
     1.70%  mandelbrot_pth  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     1.48%  mandelbrot_pth  libc-2.27.so        [.] __register_atfork
     1.31%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     1.18%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     1.12%  mandelbrot_pth  libc-2.27.so        [.] __run_exit_handlers
     1.07%  mandelbrot_pth  ld-2.27.so          [.] memset
