[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 46  of event 'cycles:uppp'
# Event count (approx.): 584919
#
# Overhead  Command         Shared Object     Symbol                            
# ........  ..............  ................  ..................................
#
    28.60%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
    14.82%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     8.53%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     7.99%  mandelbrot_seq  [kernel]          [k] 0xffffffff8c0009e7
     7.50%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     6.75%  mandelbrot_seq  libc-2.27.so      [.] fprintf
     5.10%  mandelbrot_seq  libc-2.27.so      [.] _int_malloc
     4.03%  mandelbrot_seq  ld-2.27.so        [.] dl_main
     3.52%  mandelbrot_seq  libc-2.27.so      [.] memmove
     3.29%  mandelbrot_seq  libc-2.27.so      [.] intel_check_word.isra.0
     3.23%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     1.78%  mandelbrot_seq  ld-2.27.so        [.] _dl_check_map_versions
     1.75%  mandelbrot_seq  ld-2.27.so        [.] _dl_map_object_deps
     1.56%  mandelbrot_seq  ld-2.27.so        [.] get_common_indeces.constprop.1
     0.73%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.71%  mandelbrot_seq  ld-2.27.so        [.] _dl_sysdep_start
     0.10%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
