[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 590  of event 'cycles:uppp'
# Event count (approx.): 20060957
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    85.20%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
     3.84%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     2.15%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     2.13%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     1.65%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     0.91%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.72%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.47%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.45%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.23%  mandelbrot_omp  libc-2.27.so        [.] fclose@@GLIBC_2.2.5
     0.23%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.22%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.20%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.19%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_from_fd
     0.13%  mandelbrot_omp  libc-2.27.so        [.] __wcsnlen_ifunc
     0.13%  mandelbrot_omp  libc-2.27.so        [.] __GI_____strtoull_l_internal
     0.12%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.12%  mandelbrot_omp  ld-2.27.so          [.] _dl_init
     0.11%  mandelbrot_omp  libc-2.27.so        [.] handle_intel.constprop.1
     0.10%  mandelbrot_omp  ld-2.27.so          [.] _dl_debug_initialize
     0.09%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.09%  mandelbrot_omp  ld-2.27.so          [.] _dl_cache_libcmp
     0.08%  mandelbrot_omp  ld-2.27.so          [.] _dl_next_ld_env_entry
     0.08%  mandelbrot_omp  ld-2.27.so          [.] memset
     0.08%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.04%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.04%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e20
     0.03%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.03%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.03%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.03%  mandelbrot_omp  ld-2.27.so          [.] _dl_sysdep_start
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _setjmp
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e56
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d30
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6a0
     0.01%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 179  of event 'cycles:uppp'
# Event count (approx.): 1009960
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    24.40%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
    16.63%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
    10.71%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     9.19%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     3.29%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     3.23%  mandelbrot_pth  libpthread-2.27.so  [.] pthread_create@@GLIBC_2.2.5
     3.07%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     2.80%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_overflow@@GLIBC_2.2.5
