[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60  of event 'cycles:uppp'
# Event count (approx.): 1401136
#
# Overhead  Command         Shared Object     Symbol                          
# ........  ..............  ................  ................................
#
    71.90%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
     3.68%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     3.60%  mandelbrot_seq  libc-2.27.so      [.] __memmove_avx_unaligned_erms
     3.55%  mandelbrot_seq  [kernel]          [k] 0xffffffff8c0009e7
     3.54%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     3.22%  mandelbrot_seq  ld-2.27.so        [.] _dl_lookup_symbol_x
     3.10%  mandelbrot_seq  ld-2.27.so        [.] strcmp
     2.02%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     1.80%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     1.70%  mandelbrot_seq  ld-2.27.so        [.] _dl_find_dso_for_object
     1.46%  mandelbrot_seq  ld-2.27.so        [.] open64
     0.28%  mandelbrot_seq  ld-2.27.so        [.] _dl_sysdep_start
     0.13%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.02%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
