[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:uppp'
# Event count (approx.): 45721961
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    85.56%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
     3.34%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     2.58%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     2.38%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     1.52%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     1.46%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     0.70%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.22%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.22%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.20%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.20%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.17%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.13%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.11%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e56
     0.11%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.10%  mandelbrot_omp  libc-2.27.so        [.] _IO_file_fopen@@GLIBC_2.2.5
     0.09%  mandelbrot_omp  ld-2.27.so          [.] _dl_fixup
     0.09%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.09%  mandelbrot_omp  libc-2.27.so        [.] _IO_do_write@@GLIBC_2.2.5
     0.08%  mandelbrot_omp  ld-2.27.so          [.] _dl_name_match_p
     0.07%  mandelbrot_omp  ld-2.27.so          [.] _dl_cache_libcmp
     0.06%  mandelbrot_omp  ld-2.27.so          [.] memmove
     0.06%  mandelbrot_omp  libc-2.27.so        [.] _IO_vfscanf
     0.06%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.06%  mandelbrot_omp  ld-2.27.so          [.] _dl_unload_cache
     0.06%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.05%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c120
     0.04%  mandelbrot_omp  ld-2.27.so          [.] _dl_load_cache_lookup
     0.04%  mandelbrot_omp  ld-2.27.so          [.] _dl_important_hwcaps
     0.03%  mandelbrot_omp  ld-2.27.so          [.] _dl_next_ld_env_entry
     0.02%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.02%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d3e
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.01%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019db2
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __sigjmp_save
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 197  of event 'cycles:uppp'
# Event count (approx.): 1957335
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    62.27%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     8.32%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c0009e7
     5.34%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     3.21%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     1.64%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     1.41%  mandelbrot_pth  libc-2.27.so        [.] strspn
     1.37%  mandelbrot_pth  ld-2.27.so          [.] strcmp
     1.33%  mandelbrot_pth  libc-2.27.so        [.] _init
     1.30%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     1.24%  mandelbrot_pth  libc-2.27.so        [.] __rawmemchr_avx2
     1.20%  mandelbrot_pth  libc-2.27.so        [.] _IO_vfscanf
     1.12%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     1.07%  mandelbrot_pth  ld-2.27.so          [.] _dl_relocate_object
     0.91%  mandelbrot_pth  [kernel]            [k] 0xffffffff8c000158
     0.77%  mandelbrot_pth  ld-2.27.so          [.] _dl_load_cache_lookup
     0.72%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.70%  mandelbrot_pth  ld-2.27.so          [.] _dl_add_to_namespace_list
     0.68%  mandelbrot_pth  ld-2.27.so          [.] get_common_indeces.constprop.1
