[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:uppp'
# Event count (approx.): 345840264
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    71.26%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
    19.50%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     3.85%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     1.30%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     1.25%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     1.03%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.51%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.40%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     0.29%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.25%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.12%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.06%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.02%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.02%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _IO_fwrite
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.01%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _dl_vdso_vsym
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __GI_____strtod_l_internal
     0.01%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.01%  mandelbrot_omp  libc-2.27.so        [.] __getpagesize
