[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 158K of event 'cycles:uppp'
# Event count (approx.): 7905711512
#
# Overhead  Command         Shared Object       Symbol                          
# ........  ..............  ..................  ................................
#
    88.95%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     3.70%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
     3.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     1.02%  mandelbrot_omp  libc-2.27.so        [.] _IO_fwrite
     0.94%  mandelbrot_omp  mandelbrot_omp      [.] update_rgb_buffer
     0.71%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.20%  mandelbrot_omp  libc-2.27.so        [.] malloc
     0.19%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     0.19%  mandelbrot_omp  mandelbrot_omp      [.] allocate_image_buffer
     0.17%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.16%  mandelbrot_omp  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.12%  mandelbrot_omp  mandelbrot_omp      [.] write_to_file
     0.11%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c0009e7
     0.08%  mandelbrot_omp  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.08%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.08%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.07%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     0.07%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     0.05%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.04%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.02%  mandelbrot_omp  libc-2.27.so        [.] @plt
     0.02%  mandelbrot_omp  mandelbrot_omp      [.] fwrite@plt
     0.02%  mandelbrot_omp  libc-2.27.so        [.] __mempcpy_avx_unaligned_erms
     0.02%  mandelbrot_omp  mandelbrot_omp      [.] malloc@plt
     0.00%  mandelbrot_omp  [kernel]            [k] 0xffffffff8c000158
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_default_xsputn
     0.00%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __sbrk
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __libc_enable_asynccancel
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_unsave_markers
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __GI___libc_write
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c9
     0.00%  mandelbrot_omp  ld-2.27.so          [.] strcmp
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __libc_disable_asynccancel
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_fixup
     0.00%  mandelbrot_omp  libc-2.27.so        [.] ptmalloc_init.part.0
     0.00%  mandelbrot_omp  libc-2.27.so        [.] init_cacheinfo
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __rawmemchr_avx2
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_map_object_deps
     0.00%  mandelbrot_omp  ld-2.27.so          [.] strchr
     0.00%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_check_map_versions
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_next_ld_env_entry
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_name_match_p
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _setjmp
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c87c
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e72
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c8a0
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c86a


#
# (Cannot load tips.txt file, please install perf!)
#
