[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 17K of event 'cycles:uppp'
# Event count (approx.): 892624758
#
# Overhead  Command         Shared Object     Symbol                            
# ........  ..............  ................  ..................................
#
    76.78%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
     6.19%  mandelbrot_seq  libc-2.27.so      [.] _int_malloc
     4.12%  mandelbrot_seq  mandelbrot_seq    [.] update_rgb_buffer
     3.77%  mandelbrot_seq  libc-2.27.so      [.] _IO_fwrite
     1.72%  mandelbrot_seq  mandelbrot_seq    [.] write_to_file
     1.67%  mandelbrot_seq  libc-2.27.so      [.] malloc
     1.66%  mandelbrot_seq  mandelbrot_seq    [.] allocate_image_buffer
     1.63%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_xsputn@@GLIBC_2.2.5
     1.00%  mandelbrot_seq  [kernel]          [k] 0xffffffff8c0009e7
     0.77%  mandelbrot_seq  libc-2.27.so      [.] __memmove_avx_unaligned_erms
     0.18%  mandelbrot_seq  libc-2.27.so      [.] @plt
     0.15%  mandelbrot_seq  mandelbrot_seq    [.] fwrite@plt
     0.15%  mandelbrot_seq  libc-2.27.so      [.] __mempcpy_avx_unaligned_erms
     0.15%  mandelbrot_seq  mandelbrot_seq    [.] malloc@plt
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     0.01%  mandelbrot_seq  libc-2.27.so      [.] __sbrk
     0.01%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_write@@GLIBC_2.2.5
     0.01%  mandelbrot_seq  ld-2.27.so        [.] _dl_fini
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     0.00%  mandelbrot_seq  libc-2.27.so      [.] sysmalloc
     0.00%  mandelbrot_seq  ld-2.27.so        [.] open_verify.constprop.7
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_check_map_versions
     0.00%  mandelbrot_seq  ld-2.27.so        [.] dl_main
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_lookup_symbol_x
     0.00%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     0.00%  mandelbrot_seq  ld-2.27.so        [.] get_common_indeces.constprop.1
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_setup_hash
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
