threads,mean_estimate,ci_estimate,mean_duration,ci_duration,target
1,3.141707,0.0005094925655985524,11.634463,0.24947421297835834,π
2,3.1414929999999996,0.00024817036728823127,11.8780218,0.2423721249132374,π
4,3.1411854,0.001293331660046936,9.8362882,0.07164097430394661,π
8,3.1412363999999995,0.0006946196862169688,9.425361800000001,0.11051719105069387,π
16,3.1417164,0.0010600942254724095,9.063165999999999,0.07719557010308337,π
32,3.1414679999999997,0.0008565525165452286,8.8777966,0.07204540378759797,π
64,3.1419206,0.0011813554291913398,8.814642999999998,0.21495779426274653,π
128,3.1420674,0.0006223032409364678,8.750809,0.08756846167074095,π
256,3.1414228,0.0011361192030416376,8.7265928,0.04111488018237157,π
512,3.1415162,0.0007903411705839573,8.914184,0.45295296891898,π
1024,3.1418936,0.0011349877520396895,8.7151894,0.02411770297940686,π
2048,3.141377,0.0009001597409350519,8.745351199999998,0.06637758963953717,π
